,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
7404,Bailey colocou as crianças em seu carro para dirigir até o supermercado.,Bailey colocou as crianças em seu carro para dirigir para a loja do mercearia.,A Bailey pôs os miúdos no carro para irem ao supermercado.,O que Bailey precisa fazer antes disso?,O que é necessário para Bailey antes disso?,O que é que a Bailey precisa de fazer antes disto?,Ligar o carro,Inicie o carro,Liga o carro .,Tranque-se para fora,Mantenha-se,Fechou-se lá fora.,Esqueça como dirigir,Esquecimento de como conduzir,Esquece como conduzir,A
7405,Aubrey e Addison realizaram sua rotina de dança para o público na função.,Aubrey e Addison realizaram sua rotina de dança para o público na função.,Aubrey e Addison realizaram sua dança para o público na função.,O que Aubrey precisa fazer antes disso?,O que é necessário para o Aubrey?,O que é que o Aubrey precisa de fazer antes disto?,não praticar a rotina com Addison,Não pratica a rotina com Addison,Não pratiquem a rotina com a Addison.,Aprenda a esquiar,aprender a aprender a aprender,Aprenda a esquiar,Aprenda a dançar,aprender a dançar,Aprenda a dançar.,C
7406,"Skylar seguiu animais de estimação em todos os lugares, mesmo quando lhe disseram não.","Skylar acompanhou os animais de companhia em todas as suas partes, mesmo quando lhe disseram não.","A Skylar seguiu animais de estimação para todo o lado, mesmo quando lhe disseram que não.",O que vai acontecer com Skylar?,O que acontecerá com o Skylar?,O que vai acontecer à Skylar?,ser punido,ser punido,ser punido,comprar um novo animal de estimação,compra de um novo animal de companhia,comprar um novo animal de estimação,ir para casa,ir para casa,Vai para casa.,A
7407,Kai comprou um item novo do site chamado Amazon e o usou.,Kai comprou um novo item do site chamado Amazônia e utilizou.,O Kai comprou um produto novo do site chamado Amazon e usou-o.,Como você descreveria Kai?,Como descreveria Kai?,Como descreveria o Kai?,entediante,equivocação,aborrecido,tecnológica,tecnolog,Tecnologia,preso no passado,riz,Presos no passado,B
7408,Austin rebateu para ambos os lados e conseguiu um bom acordo após as eleições.,Austin batia para ambos os lados e conseguiu bom resultado após a eleição.,Austin bateu para ambos os lados e fez um bom negócio após a eleição.,Como você descreveria Austin?,Como descreveria Austin?,Como descreveria o Austin?,sentir-se preguiçoso,sentir- se preguiça,sentir-se preguiçoso,jubilante,jubilante,jubiloso,Sentindo-se rico,sentir-se enriquecido,sentir-se rico,B
7409,Sydney estava pintando as unhas de Alex por causa da dança naquele fim de semana.,Sydney estava pintando as unhas de Alex devido à dança naquele final de semana.,A Sydney estava a pintar as unhas da Alex por causa do baile naquele fim de semana.,O que Alex vai querer fazer a seguir?,O que queremos com Alex?,O que é que o Alex vai querer fazer a seguir?,Rejeitá-los,indeferimento,rejeita-os,ajuda para fora,ajuda,Ajudem-me.,ficar com raiva,ficar irritado,ficar zangado,B
7410,"Tracy acidentalmente teve sua terra bola no quintal de Lee, e pediu Lee para devolvê-lo.","Tracy acidentalmente tinha sua terra de bola no pátio de Lee, e pediu que Lee o devolvesse",A Tracy acidentalmente deixou a bola cair no quintal do Lee e pediu ao Lee para a devolver.,O que Tracy precisa fazer antes disso?,O que é necessário para Tracy antes disso?,O que é que a Tracy precisa de fazer antes disto?,Diga obrigado,Agradecer,Diz obrigado .,precisava ter chutado a bola para o quintal de Lee,Necessidade de ter jogado a bola no pátio de Lee,precisava de ter dado um pontapé na bola no quintal do Lee.,Pergunte se Lee queria jogar,Pergunte se Lee quis brincar,Pergunta se o Lee quer jogar.,B
7411,Cameron fez seu trabalho bem ao apoiar os atores que se apresentam no palco.,Cameron trabalhou bem com o apoio dos atores que atuam na cena.,Cameron fez o seu trabalho bem quando apoiou os atores que atuam no palco.,Por que Cameron fez isso?,Por que Cameron fez isso?,Porque é que a Cameron fez isto?,uma pessoa responsável,uma pessoa responsável,uma pessoa responsável,um espião de negócios,um negócio,um espião de negócios,Saiba mais sobre os atores,Aprender sobre os atores,Aprenda sobre os atores,A
7412,Taylor reuniu os ornamentos e decorou a árvore de Natal.,Taylor reuniu os enfeites e decorava a árvore de Natal.,Taylor reuniu os ornamentos e decorou a árvore de Natal.,Como Taylor se sentiria depois?,Como senti-lo-ia depois?,Como é que a Taylor se sentiria depois?,organizada,Organizada,organizado,produtivo,Produto,produtivos,feliz,feliz,feliz,B
7413,Jordan testou as águas antes que as crianças fossem brincar no lago.,Jordan testou as águas antes de as crianças brincarem no lago.,Jordan testou as águas antes que as crianças fossem brincar no lago.,Por que Jordan fez isso?,Por que a Jordânia fez isso?,Porque é que a Jordan fez isto?,Mantenha todo mundo fora do lago,riz manter todos os outros fora do lago,mantêm todos fora do lago,Nade antes de todo mundo,nada antes de todos,nadar antes de todos os outros,Certifique-se de que a corrente estava segura,garantir que a corrente era segura,Certifique-se que a corrente é segura,C
7414,"Addison não no início, mas eventualmente cresceu para amar Kendall.","Addison não começou, mas acabou se amar Kendall.","Addison não o fez no início, mas acabou por amar a Kendall.",Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,Como se ela se tornasse mais cruel,como ela se tornou cruel,Como se ela se tornasse mais cruel,muito amado,Muito adorada,muito amado,Como seu coração amoleceu,como o coração foi apertado,Como se o coração dela tivesse se amolecido.,C
7415,O Aubrey tirou a árvore da Bailey do pátio e tirou-a.,Aubrey tirou a árvore de Bailey do pátio e o arrastou.,A Aubrey tirou a árvore da Bailey do quintal e levou-a.,Por que Aubrey fez isso?,Por que o Aubrey?,Porque é que o Aubrey fez isto?,Transplante da árvore,transplantar a árvore,Transplante a árvore,necessário para removê-lo,Necessidade de retirá- lo,- Não.,Corte a árvore,corte da árvore,Cortem a árvore.,B
7416,Os pais do Remy apanharam-no a saltar da escola e o Remy teve problemas ontem.,O pai de Remy o pegou desligando a escola e Remy estava em grande,Os pais do Remy apanharam-no a faltar à escola e o Remy estava em sarilhos ontem.,Como Remy se sentiria depois?,Como se sentiria depois de Remy?,Como é que o Remy se sentiria depois?,Envergonhada de seu comportamento,vergonha de seu comportamento,envergonhado do seu comportamento,aterrado,embasado,em terra,Fico feliz por ser castigado,a ser punido,Estou contente por ser punido.,A
7417,Remy viu o elefante no zoológico e gostou de ver os animais.,Remy viu o elefante no zoológico e gostava de ver os animais.,O Remy viu o elefante no zoológico e gostou de ver os animais.,Como você descreveria Remy?,Como descreveria a Remy?,Como descreveria o Remy?,Como alguém que viu o elefante,Como alguém que viu o elefante,Como alguém que viu o elefante,Como alguém que trabalha no zoológico,Como alguém que trabalha no zoológico,Como alguém que trabalha no zoológico,feliz,feliz,feliz,C
7418,Cameron vendeu as moedas de Sasha a preços muito mais do que ambos esperavam.,Cameron vendeu as moedas de Sasha a preços muito mais do que as esperadas.,Cameron vendeu as moedas de Sasha a preços muito mais altos do que ambos esperavam.,O que vai acontecer com Sasha?,O que acontecerá com Sasha?,O que vai acontecer com o Sasha?,Diga a Sasha o que eles fizeram,conta-lhes Sasha o que fizeram,Diz ao Sasha o que fizeram.,mau e dar dinheiro para sasha,mau e dar dinheiro para sasha,Mal e dar dinheiro para Sasha,Livre-se de suas moedas,. . . . . . . . . ,Livra-te das moedas deles.,C
7419,Bailey afastou todos e teve que provar que eles estavam certos para o trabalho.,Bailey tirou todos e teve que provar que estavam bem para o trabalho.,A Bailey afastou toda a gente e teve de provar que eram os bons para o trabalho.,Como Bailey se sentiria depois?,Como Bailey se sentiria depois?,Como é que a Bailey se sentiria depois?,sozinho,isoladamente,sozinho,Determinado e Qualifed,         ,Determinado e qualificado,Um candidato forte,um candidato forte,Um candidato forte,B
7420,A Addison arranjou-lhe um encontro para o cinema com um filme gigante esta noite.,Addison o colocou em uma data para os filmes com uma noite de paulo.,A Addison arranjou-lhe um encontro para o cinema com um filme gigante esta noite.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,entediado agora,agora enlouquecida,Aborrecido agora.,Orgulhoso agora,orgulha,orgulhoso agora,Indiferente agora,indiferente agora,indiferente agora,B
7421,Sasha deixou a cozinha em uma bagunça para limpar mais tarde.,Sasha deixou a cozinha em uma mecha para limpar mais tarde.,Sasha deixou a cozinha em sarilhos para limpar mais tarde.,Por que Sasha fez isso?,Por que o Sasha?,Porque é que o Sasha fez isto?,ser bagunçado,ser louco,- Não .,ser arrumado,ser marisco,Fique arrumado,Seja limpo,ser limpo,ser limpo,A
7422,Addison deu um beijo a sua amiga Kendall e disse-lhe que ela ficaria bem.,Addison deu um beijo à amiga Kendall e lhe contou que estaria bem.,A Addison deu um beijo à sua amiga Kendall e disse-lhe que ela ficaria bem.,Como você descreveria Addison?,Como descreveria Addison?,Como descreveria a Addison?,entediante,equivocação,aborrecido,esperança de que seu encorajamento ajudou Kendall,esperada que seu incentivo tenha ajudado Kendall,Ela espera que o seu encorajamento ajude Kendall,tipo,tipo,simpático,B
7423,Carson aprendeu a lição de Alex da maneira mais difícil depois que ele derrubou o teste.,Carson aprendeu a lição de Alex após o flunking do teste.,Carson aprendeu a lição do Alex da maneira mais difícil depois de ele ter reprovado no teste.,Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,orgulhoso de ser um perdedor dolorido,orgulha em ser um perdedor,orgulhoso de ser um falhado .,arrependido de ter feito melhor,lamentável que ele tenha melhorado,Arrependeu-se de ter feito melhor.,Desatento ao aviso de Alex,desatenção à advertência de Alex,Desatento ao aviso do Alex,C
7424,"Jesse tinha medo de tudo, então você poderia dizer que Jesse enfrentou todos os medos imagináveis.","Jesse ficou com medo de tudo, para que se diga que Jesse enfrentou todo medo imagin","O Jesse tinha medo de tudo, por isso, pode-se dizer que o Jesse enfrentava todos os medos imagináveis.",Como você descreveria Jesse?,Como descrever Jesse?,Como descreveria o Jesse?,Imagine um pouco de tudo,imaginou um pouco de tudo,Imaginei um pouco de tudo.,Enfrentando muitos medos,enfrentou muita temor,Enfrentou muitos medos.,Sobrecarregado por fobias,fobia,Carregados de fobias,C
7425,Jan assou um lote de biscoitos e os acertou.,Jan chupou um batelada de biscoitos e os pegou bem.,Jan fez um lote de bolachas e fez-as perfeitamente.,O que Jan vai querer fazer a seguir?,O que queremos Jan?,O que vai o Jan querer fazer a seguir?,Gelo-los,gelo,- Não .,Limpe os tapetes,limpeza dos tapetes,Limpa os tapetes.,Como assar alimentos,como cozinhar alimentos,Como fazer comida,A
7426,"Kendall lutou ao meu lado até o fim, mas ainda perdemos.","Kendall lutou pelo meu lado até o final, mas ainda perdemos.","A Kendall lutou ao meu lado até ao fim, mas perdemos.",O que Kendall precisa fazer antes disso?,O que o Kendall precisa fazer antes disso?,O que é que a Kendall precisa de fazer antes disto?,Saiba como ser um bom amante,saber ser um bom amante,Saber como ser um bom amante,Saiba como ser um bom lutador,saber ser um bom lutador,Saber como ser um bom lutador,Rebelde contra a causa,Rebeldia contra a causa,Rebelar-se contra a causa,B
7427,Remy namorou sua namorada por três anos e depois decidiu não se casar com ela.,Remy namorou com a namorada há três anos e decidiu não casar.,O Remy namorou a namorada dele durante três anos e depois decidiu não casar com ela.,O que acontecerá com os outros?,O que acontecerá com os outros?,O que acontecerá aos Outros?,Procure o amor de novo,procura o amor de novo,Procure o amor novamente,Encontre uma nova namorada,encontrar uma nova namorada,Encontrar uma nova namorada.,Ficar chateado com Remy,Estar preocupado com Remy,Ficar chateado com o Remy.,C
7428,Carson fez uma bagunça na cozinha e pediu ajuda para limpá-la.,Carson fez uma mecha na cozinha e pediu ajuda para higienizá-la.,Carson fez uma bagunça na cozinha e pediu ajuda para limpá-la.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Ir para o espaço,ir ao espaço,Vai para o espaço .,ir para a escola,ir à escola,ir para a escola,Seja gentil,ser do tipo,Sê gentil .,C
7429,Aubrey e Lee chegam em casa e encontram um corpo na casa. Aubrey faz com que seu filho Lee vá esperar lá fora.,"Aubrey e Lee chegam para casa e encontram um corpo na casa, Aubrey faz",Aubrey e Lee chegam em casa e encontram um corpo na casa.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,Abra a porta,abrir a porta,Abre a porta.,Ainda dentro,ainda dentro,Ainda lá dentro.,Chamar a polícia e denunciá-lo,chame a polícia e relate,Chame a polícia e informe-o.,C
7430,Bailey deixou o inimigo de Austin irritado enquanto eles estavam na escola.,Bailey fez com que o inimigo de Austin se irritasse enquanto estavam na escola.,A Bailey irritou o inimigo do Austin enquanto estavam na escola.,Como você descreveria Bailey?,Como descreveria Bailey?,Como descreveria a Bailey?,Perturbado,tonturas,desanimado,agressivo,agressivo,agressivo,pacífica,<,pacífico,B
7431,"Aubrey prestou homenagem aos deuses, eles fizeram isso por reverência.","Aubrey ofereceu homenagem aos deuses, eles fizeram isso de reverência.","Aubrey ofereceu tributo aos deuses, eles fizeram isso por reverência.",Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,eles foram diffierent,foram diferentes,Eles eram diferentes.,religioso e espiritual,religioso e espiritual,religioso e espiritual,Eles eram únicos,"foram singulares, com maior ou menor grau de acuidade e a",Eles eram únicos .,B
